"","id","first_name","second_name","player_type","team_name","now_cost","total_points","points_per_game","status","bps","influence","creativity","threat","ict_index","news","news_added","photo","bonus","value_form","value_season","goals_scored","assists","clean_sheets","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus.1","element_type","team"
"59",1,"Shkodran","Mustafi","DEF","Arsenal",5400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/69140.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,1
"60",2,"Héctor","Bellerín","DEF","Arsenal",5500000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Knee injury - Expected back 30 Sep","2019-06-25T11:30:06.897107Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/98745.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,1
"61",3,"Sead","Kolasinac","DEF","Arsenal",5400000,1,"1.0","a",2,"2.2","0.3","0.0","0.3","","2019-08-09T17:00:13.224645Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/111457.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,2,1
"62",4,"Ainsley","Maitland-Niles","DEF","Arsenal",5100000,15,"5.0","a",62,"77.2","41.7","7.0","12.6","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/154043.jpg",3,"0.7","2.9",0,1,1,0,0,0,0,0,0,3,2,1
"63",5,"Sokratis","Papastathopoulos","DEF","Arsenal",5e+06,11,"3.7","a",64,"77.6","12.1","2.0","9.2","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/39476.jpg",2,"0.6","2.2",0,0,1,0,0,0,0,0,0,2,2,1
"64",6,"Nacho","Monreal","DEF","Arsenal",5e+06,10,"3.3","u",54,"47.2","40.8","12.0","10.0","Joined Real Sociedad on a permanent deal on 31/8","2019-08-31T11:30:14.661839Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/38411.jpg",1,"0.5","2.0",0,0,1,0,0,0,0,0,0,1,2,1
"65",7,"Laurent","Koscielny","DEF","Arsenal",5e+06,0,"0.0","u",0,"0.0","0.0","0.0","0.0","Joined Bordeaux on a permanent deal on 6/8.","2019-08-08T11:00:09.045030Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/51507.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,1
"66",8,"Konstantinos","Mavropanos","DEF","Arsenal",4400000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Groin Injury - Expected back 30 Sep","2019-08-09T09:30:11.868345Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/233963.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,1
"67",9,"Carl","Jenkinson","DEF","Arsenal",4500000,0,"0.0","u",0,"0.0","0.0","0.0","0.0","Joined Nottingham Forest on a permanent deal on 7/8.","2019-08-07T17:00:10.875251Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/80254.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,1
"68",10,"Rob","Holding","DEF","Arsenal",4500000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Lack of match fitness - Unknown return date","2019-06-25T11:30:06.913215Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/156074.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,1
"515",11,"Pierre-Emerick","Aubameyang","FWD","Arsenal",1.1e+07,17,"5.7","a",67,"86.6","50.7","162.0","29.9","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/54694.jpg",1,"0.4","1.5",2,1,1,0,0,0,1,0,0,1,4,1
"503",12,"Alexandre","Lacazette","FWD","Arsenal",9500000,9,"4.5","a",27,"38.2","12.3","60.0","11.1","","2019-08-04T23:30:15.744462Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/59966.jpg",2,"0.2","0.9",1,0,0,0,0,0,0,0,0,2,4,1
"502",13,"Edward","Nketiah","FWD","Arsenal",4400000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul","2019-08-08T15:30:15.638344Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/205533.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,4,1
"5",14,"Bernd","Leno","GKP","Arsenal",5e+06,11,"3.7","a",55,"63.4","0.0","0.0","6.3","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/80201.jpg",1,"0.6","2.2",0,0,1,0,0,0,0,0,7,1,1,1
"266",15,"Mesut","Özil","MID","Arsenal",7300000,0,"0.0","d",0,"0.0","0.0","0.0","0.0","Lack of match fitness - 75% chance of playing","2019-08-09T17:00:13.419733Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/37605.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,1
"267",16,"Henrikh","Mkhitaryan","MID","Arsenal",6900000,3,"1.5","a",3,"1.6","20.9","22.0","4.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/57249.jpg",0,"0.1","0.4",0,0,1,0,0,0,1,0,0,0,3,1
"275",17,"Alex","Iwobi","MID","Everton",5900000,1,"1.0","a",6,"7.4","6.8","21.0","3.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/153133.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,3,8
"309",18,"Granit","Xhaka","MID","Arsenal",5400000,4,"2.0","a",28,"44.6","26.4","5.0","7.6","","2019-08-15T10:30:08.210157Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/84450.jpg",0,"0.2","0.7",0,0,1,0,0,0,1,0,0,0,3,1
"311",19,"Lucas","Torreira","MID","Arsenal",4900000,7,"3.5","a",23,"45.6","15.1","36.0","9.7","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/198849.jpg",0,"0.4","1.4",1,0,0,0,0,0,0,0,0,0,3,1
"312",20,"Mohamed","Elneny","MID","Arsenal",4400000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul","2019-08-31T11:30:14.714406Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/153256.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,1
